Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Ralph Johnson,,2.9,1.6,0.8,0,NA,NA,NA
Rodney McGruder,93.4,2.9,1.9,0.8,NA,NA,NA,NA
David Nwaba,86.2,2.4,1.4,0.8,NA,NA,NA,NA
Robert Smith,84.5,2.9,1.4,0.8,0.6,0,0,0
Maurice McHartley,83.6,2.4,1.8,0.8,NA,NA,NA,NA
Jeff Judkins,82.6,3,1.8,0.7,0.6,0.2,NA,NA
Louie Nelson,82.1,2.9,2.3,1.1,0,0,NA,NA
Harold Ellis,81.7,2.8,0.9,0.9,NA,NA,NA,NA
Kenny Rollins,78.9,2.6,1.5,0.1,NA,NA,NA,NA
Kenny Higgs,78.2,2.2,1.5,1,NA,NA,NA,NA
Jiří Welsch,78.0,3.6,1.7,0.8,-0.4,NA,NA,NA
