Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Ralph Johnson,,2.9,1.6,0.8,0
Robert Smith,95.0,2.9,1.4,0.8,0
Rodney McGruder,93.4,2.9,1.9,0.8,NA
Jeff Judkins,90.9,3,1.8,0.7,0.2
Anthony Goldwire,88.0,3,1.7,0.3,0.1
Jon Sundvold,87.7,3,1.5,1.2,0.2
David Nwaba,86.2,2.4,1.4,0.8,NA
Mike Barr,86.0,2.7,1.7,0.7,0.4
Steve Blake,85.9,2.8,2.1,0.7,0.3
Ennis Whatley,85.3,3.3,1.9,0.8,0
Bob Weiss,85.2,2.9,1.7,0.1,0
