Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1949-50,28,TOT,NBA,PG,67,NA,NA,0.353,0.166,NA,NA,NA,NA,NA,-1.5,4.5,2.9,NA
1949-50,28,AND,NBA,PG,35,NA,NA,0.364,0.195,NA,NA,NA,NA,NA,-0.4,2.8,2.4,NA
1949-50,28,FTW,NBA,PG,32,NA,NA,0.339,0.13,NA,NA,NA,NA,NA,-1.2,1.7,0.5,NA
1950-51,29,FTW,NBA,PG,68,NA,NA,0.361,0.22,NA,NA,NA,NA,NA,-1.7,2.5,0.8,NA
1951-52,30,FTW,NBA,PG,66,2265,8.8,0.4,0.236,NA,NA,NA,NA,NA,0,1.6,1.6,0.034
1952-53,31,FTW,NBA,PG,3,30,8.4,0.388,0.333,NA,NA,NA,NA,NA,0,0,0,0.031
Career,NA,,NBA,,204,2295,8.8,0.369,0.205,NA,NA,NA,NA,NA,-3.3,8.6,5.3,0.034
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,FTW,NBA,,169,2295,8.8,0.371,0.208,NA,NA,NA,NA,NA,-2.9,5.8,2.9,0.034
1 season,NA,AND,NBA,,35,NA,NA,0.364,0.195,NA,NA,NA,NA,NA,-0.4,2.8,2.4,NA
