Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Rudy Fernández,,6.1,3.8,3,1.2,NA,NA,NA,NA,NA
Malcolm Brogdon,84.4,6.5,4.1,2.7,NA,NA,NA,NA,NA,NA
Luther Head,83.0,5.7,3.5,3.5,0.9,0.6,0.6,NA,NA,NA
Chick Reiser,81.9,5.5,3.9,3.7,NA,NA,NA,NA,NA,NA
Will Barton,81.4,6.2,4.3,3.3,1.3,1.2,0.6,-0.5,NA,NA
Scott Burrell,81.4,5.6,3.7,3.2,1.4,1.1,0.8,0.5,0.1,NA
Tyler Johnson,81.1,5.8,4.2,2.3,2,0.8,NA,NA,NA,NA
Randy Wittman,80.6,5.9,4.2,3.5,1.6,1.2,0.7,0,0,0
Wilbur Holland,80.5,5.9,4.4,3.8,-0.1,NA,NA,NA,NA,NA
Spencer Dinwiddie,79.8,5.7,4.8,2.8,0.1,0.1,NA,NA,NA,NA
Billy Kenville,79.8,4.5,3.9,3,1.4,0.5,0.4,NA,NA,NA
