Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Rudy Fernández,,6.1,3.8,3,1.2
Vernon Maxwell,95.0,5.9,3.9,2.8,1.5
Chris Childs,92.5,5.8,3.9,3.7,1.2
Terrell Brandon,92.4,5.6,3.9,2.9,0.9
Jrue Holiday,91.8,5.7,4.2,3.3,1.2
Nate Robinson,91.5,5.9,3.2,3.2,1.5
Bimbo Coles,91.2,5.7,3.2,3,1.1
Šarūnas Marčiulionis,90.1,6.4,3.8,3,2.5
Ron Brewer,89.9,5.6,4.3,3.3,1.4
Luther Head,87.4,5.7,3.5,3.5,0.6
Jodie Meeks,87.4,5.1,4.1,3,0.9
