,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1950-51,22,FTW,NBA,,6,,4,5,,,2,14
1951-52,23,FTW,NBA,,7,,3,4,,,6,17
1952-53,24,FTW,NBA,,9,,10,10,,,6,24
1953-54,25,FTW,NBA,,3,,8,11,,,6,14
1954-55,26,FTW,NBA,,9,,8,11,,,5,26
1955-56,27,FTW,NBA,,8,,10,13,,,6,23
1956-57,28,FTW,NBA,,9,,12,13,,,6,30
1958-59,30,MNL,NBA,,11,19,6,8,,,6,26
1959-60,31,TOT,NBA,,4,11,7,7,,,5,15
1959-60,31,STL,NBA,,4,11,7,7,,,5,15
1960-61,32,STL,NBA,,4,10,6,9,10,,3,14
Career,,,,,11,,12,13,,,6,30
7 Seasons,,FTW,NBA,,9,,12,13,,,6,30
2 Seasons,,STL,NBA,,4,11,7,9,,,5,15
1 Season,,MNL,NBA,,11,19,6,8,,,6,26
