Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Larry Foust,,13.3,11.1,10.4,7.1,6.4,6.3,4.7,4.5,4.2,3.1,3.1,NA
Bill Cartwright,85.5,10.1,10,9.8,9.7,6.4,5.8,5,4.5,4.2,2.5,2.1,0
Marc Gasol,81.7,11.5,10.2,8.4,8.2,7.9,7.7,6.4,6,5.6,4,3.7,NA
Brad Miller,81.4,10,9.6,9.1,8.6,8.3,6.5,5.1,4,3.8,3.4,2.7,2.1
Dave Cowens,81.0,12,10.8,10.7,10.4,9.5,9.3,6.4,5.4,4.8,4.4,2.6,NA
Brad Daugherty,80.5,12.7,11.7,9.6,9,6.6,6.4,6,3.1,NA,NA,NA,NA
DeAndre Jordan,80.4,12.8,11.8,11.5,11.1,9.4,7.1,6.2,5.6,5.2,1.5,1.3,NA
Joakim Noah,80.2,11.2,9,7.3,6.7,6.4,6.2,5.6,3.8,2.2,2.2,1.1,0.1
Billy Paultz,78.9,9,8.9,8.7,8.6,7,5.6,5.3,5.1,5,4,2.7,0.1
Tom Owens,78.5,10.4,8.3,8,6.9,6.9,6,4.8,3.2,2.9,2.5,0.9,0.6
Alonzo Mourning,78.4,12.9,9.9,9.4,8.4,8.2,7.9,7.5,7.4,6.3,1.2,0.9,0.6
