Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Shabazz Napier,,3.2,2,0.6,0.5,0.1
Jeff Judkins,90.1,3,1.8,0.7,0.6,0.2
Malik Sealy,88.5,3.2,2.1,1.2,0.6,0.2
Ennis Whatley,86.9,3.3,1.9,0.8,0,0
Tyronn Lue,83.9,3.7,2,0.4,0.3,0.2
Rodney McGruder,83.2,2.9,1.9,0.8,NA,NA
Travis Diener,82.2,2.5,1.9,0.7,0.6,0
Chris Quinn,80.3,2.6,2.1,0.6,0.1,0.1
Tyus Edney,79.9,3.3,1.5,1.4,0.5,NA
Steve Kerr,79.6,3.2,2.4,1.3,0.6,0.4
Ronnie Lester,79.6,3.9,1.7,0.7,0.2,0
