Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Shabazz Napier,,3.2,2,0.6,0.5,0.1,NA,NA,NA,NA
Jeff Judkins,90.1,3,1.8,0.7,0.6,0.2,NA,NA,NA,NA
Dan Dickau,84.2,3.5,1.5,0.4,0.4,0,0,NA,NA,NA
Rodney McGruder,83.2,2.9,1.9,0.8,NA,NA,NA,NA,NA,NA
Travis Diener,82.2,2.5,1.9,0.7,0.6,0,NA,NA,NA,NA
Tyus Edney,79.9,3.3,1.5,1.4,0.5,NA,NA,NA,NA,NA
Alfred McGuire,78.6,3.4,1.9,0.1,NA,NA,NA,NA,NA,NA
Robert Smith,78.6,2.9,1.4,0.8,0.6,0,0,0,NA,NA
Pete Myers,78.5,3,1.3,0.6,0.5,0.3,0.1,0,0,-0.1
Ralph Johnson,77.6,2.9,1.6,0.8,0,NA,NA,NA,NA,NA
Hollis Thompson,77.4,2.6,2,1.2,0.7,NA,NA,NA,NA,NA
