Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Glenn Robinson,,2.5,0.8,0.7,0.6,0.1,NA,NA
Ben McLemore,82.6,2.5,0.8,0.5,0.4,0.3,0.2,NA
Dion Glover,81.8,2.6,1.1,0.9,0.8,0.3,0.2,NA
Chris Douglas-Roberts,78.8,2.4,1.6,0.7,0.6,0.1,0,NA
Robert Smith,78.7,2.9,1.4,0.8,0.6,0,0,0
Mike Davis,78.1,2.2,1.2,0.9,0.6,NA,NA,NA
Bo Lamar,77.8,2.5,1.5,1,0.5,NA,NA,NA
Travis Diener,77.6,2.5,1.9,0.7,0.6,0,NA,NA
Harold Ellis,76.2,2.8,0.9,0.9,NA,NA,NA,NA
A.J. Price,75.0,2.2,1.2,0.7,0.3,0.3,0,NA
Franklin Edwards,74.4,2.7,0.8,0.6,0.2,0.1,-0.2,-0.3
