Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Glenn Robinson,,2.5,0.8,0.7,0.6,0.1
Si Green,86.2,2.6,1,0.8,0.4,NA
Ben McLemore,85.4,2.5,0.8,0.5,0.4,0.3
Dion Glover,84.7,2.6,1.1,0.9,0.8,0.3
Franklin Edwards,83.8,2.7,0.8,0.6,0.2,0.1
Robert Smith,79.8,2.9,1.4,0.8,0.6,0
Sasha Pavlović,79.6,3.1,0.9,0.8,0.5,0.2
Chris Douglas-Roberts,79.4,2.4,1.6,0.7,0.6,0.1
Wayne Ellington,79.0,3.2,0.8,0.7,0.4,0.3
Mike Davis,78.1,2.2,1.2,0.9,0.6,NA
Bo Lamar,77.8,2.5,1.5,1,0.5,NA
