Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Jimmy Butler,,13.8,11.2,9.1,8.9,7.9,7.1,7,1.1
Roger Brown,92.9,13.3,10.9,10,9.3,7.3,6.5,6.1,1.8
Kawhi Leonard,91.4,13.7,13.6,9.5,8.6,7.7,6.2,5.5,0.9
Kevin Love,91.3,14.3,11.4,10,8.7,8.5,5.3,4.9,1.1
Peja Stojaković,90.8,13.5,10.1,10.1,9.9,8,7.3,4.8,1.7
Harry Gallatin,90.5,11.8,11.3,8.9,8.3,7.8,7.6,5.6,2.8
Pau Gasol,89.5,13.9,12,8.5,8.4,8.1,7.6,6.9,6.8
Connie Hawkins,89.1,17.9,11.3,10.2,9.6,8.6,7.5,7.1,1.1
Dennis Rodman,89.0,12.6,9.3,8.7,8.7,8.1,6.8,5.5,2.9
Horace Grant,88.9,14.1,10.3,10,9.5,9.1,8,6.4,4.2
George Yardley,88.4,12.3,10,9,7.6,7.5,6.8,5.3,NA
