Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jimmy Oliver,,0.2,0.2,0,0,-0.1
Mike Price,78.8,0.2,0.2,0.1,NA,NA
Awvee Storey,51.0,0.2,0.1,0,NA,NA
Anthony Roberson,50.5,0.2,0.2,0.1,NA,NA
Randy Woods,43.2,0.3,0.2,0.1,0.1,NA
Drew Barry,36.3,0.3,0.2,0.1,NA,NA
R.J. Hunter,35.1,0.3,0.1,0,0,NA
Demetrius Jackson,31.7,0.2,0.1,-0.1,NA,NA
Lance Blanks,30.2,0.4,0.2,0.1,NA,NA
Bob Duffy,24.7,0.3,0.1,0.1,NA,NA
Briante Weber,24.2,0.4,0.3,0,NA,NA
