Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Bob Donham,,6.1,4.5,3.8,3.5
Paul Neumann,94.3,6.5,4.6,4.2,3.2
Pooh Richardson,93.6,5.9,4.4,4.1,4
Jim Seminoff,93.6,5.4,4.5,3.6,3.4
Darren Collison,92.6,5.6,4.3,3.8,2.9
Ron Boone,91.1,5.8,5.1,4,2.8
Nate McMillan,90.5,6.5,4.9,4.4,4.1
Rod Strickland,90.4,5.7,5.2,4.3,3.7
Bill Keller,90.3,6.1,5.4,4,2.7
Willie Anderson,90.1,6.5,4.9,4.8,3.3
Darwin Cook,90.1,6,3.9,3.6,2.7
