Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Bob Donham,,6.1,4.5,3.8,3.5,NA,NA,NA,NA,NA,NA,NA
Jim Seminoff,93.6,5.4,4.5,3.6,3.4,NA,NA,NA,NA,NA,NA,NA
Gary Harris,86.1,5.5,4.6,4,2.6,-0.7,NA,NA,NA,NA,NA,NA
Lewis Lloyd,82.5,6.3,4.7,4.6,2.6,1.6,0.1,0,NA,NA,NA,NA
Dean Meminger,78.7,5,4.4,3.9,2.2,1,0.2,NA,NA,NA,NA,NA
Rudy Fernández,77.9,6.1,3.8,3,1.2,NA,NA,NA,NA,NA,NA,NA
Josh Richardson,77.4,5.6,5.4,2.5,2.2,NA,NA,NA,NA,NA,NA,NA
Wilbur Holland,77.3,5.9,4.4,3.8,-0.1,NA,NA,NA,NA,NA,NA,NA
Bojan Bogdanović,77.1,6.8,5.4,2.9,2.4,0.9,NA,NA,NA,NA,NA,NA
Jeff McInnis,76.8,6.9,5.1,4.9,4.1,1.1,0.3,0.3,0.2,0.1,0.1,-0.1
Gene Littles,75.8,7.7,4.8,4.2,3.6,1.6,1.4,NA,NA,NA,NA,NA
