Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,PF,PTS
1966-67,24,CHI,NBA,SG,1,0,22:00,4,9,0.444,0,0,NA,NA,4,4,NA,NA,5,8
1968-69,26,CHI,NBA,SG,1,1,18:00,2,8,0.25,0,1,0,NA,3,0,NA,NA,5,4
Career,NA,,NBA,,2,1,40,6,17,0.353,0,1,0,NA,7,4,NA,NA,10,12
