Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jerry Sloan,,7.2,7,6.8,6.5,6.4,6,2.9,2.6,1.9,1.4,0.9
David Wesley,90.0,7.6,7,6.3,6.1,6.1,5.8,4.8,2.8,2.6,2.6,0.6
Vern Fleming,89.6,8.4,7,6.9,6.7,5.6,4.4,3.3,2.9,2,1.9,1.4
Jo Jo White,89.4,8,7.4,7.3,6.7,6.5,6.1,5.4,2,1.7,1.5,1.1
Nick Van Exel,87.4,7.2,7.1,6.4,6.4,5.7,4.9,4.4,4,3.4,2.2,1.2
Michael Adams,87.3,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,0.8,-0.1
John Starks,87.2,7.5,6.4,6.2,5.8,5.8,5.7,4.6,3,2.4,0.6,0
Damon Stoudamire,86.9,7.6,6.7,6.6,6.1,5.9,5.7,4.7,4.3,3.6,1.7,1.6
Freddie Lewis,86.3,7.6,7.5,7.3,7.2,6.2,6,5.2,3.2,3,0.5,0
Tyrone Corbin,86.1,6.8,6.7,5.6,5.4,5.4,4.4,3,2.5,2.1,1.2,0.1
Mike Newlin,86.1,8.5,6.5,6.1,5.9,5.8,5.2,4.7,2.9,1.8,1.6,1.5
