,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1965-66,23,BAL,NBA,,3,6,3,4,,,10,5,,,6,9
1966-67,24,CHI,NBA,,7,19,4,5,,,5,1,,,4,16
1967-68,25,CHI,NBA,,4,11,7,8,,,9,4,,,5,15
1969-70,27,CHI,NBA,,9,18,5,7,,,12,4,,,5,23
1970-71,28,CHI,NBA,,11,24,6,7,,,12,4,,,6,24
1971-72,29,CHI,NBA,,8,19,5,9,,,12,4,,,6,19
1972-73,30,CHI,NBA,,11,20,5,6,,,11,5,,,6,27
1973-74,31,CHI,NBA,,10,22,5,6,,,17,4,,,4,24
1974-75,32,CHI,NBA,,10,19,3,6,,,12,4,,,5,22
Career,,,,,11,24,7,9,,,17,5,,,6,27
8 Seasons,,CHI,NBA,,11,24,7,9,,,17,5,,,6,27
1 Season,,BAL,NBA,,3,6,3,4,,,10,5,,,6,9
