,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1965-66,23,BAL,NBA,,8,,7,12,,,,,,,,17
1966-67,24,CHI,NBA,,14,26,12,16,,,17,9,,,6,32
1967-68,25,CHI,NBA,,13,,13,17,,,,,,,,35
1968-69,26,CHI,NBA,,19,36,13,15,,,15,9,,,6,43
1969-70,27,CHI,NBA,,12,28,11,18,,,21,11,,,6,29
1970-71,28,CHI,NBA,,14,26,8,10,,,18,9,,,6,34
1971-72,29,CHI,NBA,,16,,12,16,,,,,,,,35
1972-73,30,CHI,NBA,,13,22,5,8,,,13,6,,,6,31
1973-74,31,CHI,NBA,,11,,8,11,,,,,,,,25
1974-75,32,CHI,NBA,,12,23,8,14,,,12,6,,,6,27
1975-76,33,CHI,NBA,,8,16,8,11,4,10,12,4,3,2,6,21
Career,,,,,19,,13,18,,,,,,,,43
10 Seasons,,CHI,NBA,,19,,13,18,,,,,,,,43
1 Season,,BAL,NBA,,8,,7,12,,,,,,,,17
