Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1965-66,23,BAL,NBA,SG,59,NA,952,4.5,10.9,0.415,3.7,5.3,0.705,NA,NA,8.7,4.2,NA,NA,6.7,12.8
1966-67,24,CHI,NBA,SG,80,NA,2942,6.4,14.9,0.432,4.2,5.2,0.796,NA,NA,8.9,2.1,NA,NA,3.6,17
1967-68,25,CHI,NBA,SG,77,NA,2454,5.4,14.1,0.385,4.2,5.7,0.749,NA,NA,8.7,3.4,NA,NA,4.3,15.1
1968-69,26,CHI,NBA,SG,78,NA,2939,6,14.3,0.417,4.1,5.5,0.745,NA,NA,7.6,3.4,NA,NA,3.8,16
1969-70,27,CHI,NBA,SF,53,NA,1822,6.1,14.6,0.421,4.1,6.3,0.651,NA,NA,7.4,3.3,NA,NA,3.5,16.3
1970-71,28,CHI,NBA,SG,80,NA,3140,6.8,15.4,0.441,3.2,4.5,0.715,NA,NA,8,3.2,NA,NA,3.3,16.8
1971-72,29,CHI,NBA,SG,82,NA,3035,6.3,14.3,0.444,3.1,4.6,0.66,NA,NA,8.2,2.5,NA,NA,3.7,15.8
1972-73,30,CHI,NBA,SG,69,NA,2412,4.5,10.9,0.411,1.4,2,0.707,NA,NA,7.1,2.3,NA,NA,3.5,10.4
1973-74,31,CHI,NBA,SG,77,NA,2860,5.2,11.6,0.447,2.4,3.4,0.711,1.9,5.1,7,1.9,2.3,0.1,3.4,12.8
1974-75,32,CHI,NBA,SG,78,NA,2577,5.3,12.1,0.439,2.7,3.6,0.748,2.5,5,7.5,2.2,2.4,0.2,3.7,13.3
1975-76,33,CHI,NBA,SG,22,NA,617,4.9,12.3,0.4,3.2,4.6,0.705,2.3,4.4,6.8,1.3,1.6,0.3,4.5,13
Career,NA,,NBA,,755,NA,25750,5.8,13.5,0.427,3.3,4.5,0.722,2.2,5,7.9,2.7,2.3,0.2,3.8,14.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10 seasons,NA,CHI,NBA,,696,NA,24798,5.8,13.6,0.427,3.3,4.5,0.723,2.2,5,7.8,2.6,2.3,0.2,3.7,14.9
1 season,NA,BAL,NBA,,59,NA,952,4.5,10.9,0.415,3.7,5.3,0.705,NA,NA,8.7,4.2,NA,NA,6.7,12.8
