Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1965-66,23,BAL,NBA,SG,59,952,11.1,0.483,0.481,NA,NA,NA,14.3,NA,NA,NA,0.7,0.7,1.4,0.072,NA,NA,NA,NA,NA
1966-67,24,CHI,NBA,SG,80,2942,14.2,0.496,0.352,NA,NA,NA,7.8,NA,NA,NA,3.1,3.4,6.5,0.106,NA,NA,NA,NA,NA
1967-68,25,CHI,NBA,SG,77,2454,13.2,0.455,0.403,NA,NA,NA,12.8,NA,NA,NA,-0.1,2.7,2.6,0.051,NA,NA,NA,NA,NA
1968-69,26,CHI,NBA,SG,78,2939,14.9,0.479,0.382,NA,NA,NA,13.7,NA,NA,NA,2.3,4.1,6.4,0.104,NA,NA,NA,NA,NA
1969-70,27,CHI,NBA,SF,53,1822,12.6,0.472,0.431,NA,NA,NA,12.3,NA,NA,NA,0.1,1.8,1.9,0.05,NA,NA,NA,NA,NA
1970-71,28,CHI,NBA,SG,80,3140,14.6,0.483,0.29,NA,NA,10.6,13,NA,NA,NA,1.9,4.1,6,0.092,NA,NA,NA,NA,NA
1971-72,29,CHI,NBA,SG,82,3035,13.4,0.482,0.324,NA,NA,10.9,9.7,NA,NA,NA,1.3,5.9,7.2,0.114,NA,NA,NA,NA,NA
1972-73,30,CHI,NBA,SG,69,2412,9.3,0.44,0.181,NA,NA,9.9,8.3,NA,NA,NA,-0.9,3.9,2.9,0.058,NA,NA,NA,NA,NA
1973-74,31,CHI,NBA,SG,77,2860,12.6,0.489,0.296,5.4,15,10.1,7.6,2.9,0.2,NA,1.5,5.2,6.8,0.114,NA,-1.2,2,0.8,2
1974-75,32,CHI,NBA,SG,78,2577,14.4,0.487,0.298,7.3,14.7,11,9.6,3.2,0.4,NA,2.2,4.7,7,0.13,NA,-0.6,1.8,1.2,2.1
1975-76,33,CHI,NBA,SG,22,617,11.2,0.456,0.371,6.1,13.3,9.5,5.5,2.1,0.5,NA,0.2,0.7,0.9,0.068,NA,-2.4,0.4,-2.1,0
Career,NA,,NBA,,755,25750,13.2,0.477,0.336,6.2,14.7,10.4,10.5,3,0.3,NA,12.2,37.3,49.5,0.092,NA,-1.1,1.7,0.7,4.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10 seasons,NA,CHI,NBA,,696,24798,13.3,0.477,0.331,6.2,14.7,10.4,10.4,3,0.3,NA,11.5,36.6,48.1,0.093,NA,-1.1,1.7,0.7,4.1
1 season,NA,BAL,NBA,,59,952,11.1,0.483,0.481,NA,NA,NA,14.3,NA,NA,NA,0.7,0.7,1.4,0.072,NA,NA,NA,NA,NA
