,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2013-14,24,MIN,NBA,SF,53,655,,8%,73%,20%,,+3.6,+1.3,6,3,37,1,4,5,52,0,6
2014-15,25,MIN,NBA,SF,45,742,,,34%,63%,3%,-10.5,-1.2,10,3,56,4,13,7,63,2,4
Career,,,NBA,,98,1397,,4%,52%,43%,1%,-3.9,0.0,16,6,93,5,17,12,115,2,10
