Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,29,ATL,NBA,SF,65,NA,2588,11.3,22.7,0.5,4.9,5.9,0.836,2.1,3.7,5.9,3.6,2.7,0.5,NA,3.4,27.6,NA,NA,99
1974-75,30,ATL,NBA,SG,11,NA,380,11.5,26.7,0.431,5.7,6.8,0.842,1.7,3.9,5.6,4.8,1.5,0.2,NA,3.9,28.8,NA,NA,102
1975-76,31,ATL,NBA,SG,81,NA,2558,10.3,21.8,0.472,4.3,5.3,0.814,1.9,3.6,5.4,3.9,2.2,0.3,NA,4.4,24.9,NA,NA,102
1976-77,32,ATL,NBA,SG,58,NA,1745,10.9,23.8,0.456,3.7,4.4,0.84,1.3,2.1,3.4,4.1,1.8,0.5,NA,4.2,25.5,NA,NA,104
1977-78,33,LAL,NBA,SG,82,NA,2283,9.8,19.7,0.497,2.7,3.5,0.774,1.6,2.1,3.7,3.8,1.9,0.3,3,3.9,22.3,NA,103,104
1978-79,34,LAL,NBA,SG,78,NA,1686,8.8,17.1,0.517,3,3.3,0.887,1.7,2,3.8,3.8,1.6,0.5,2.7,3.6,20.6,NA,108,107
Career,NA,,NBA,,375,NA,11240,10.4,21.4,0.489,3.9,4.7,0.797,1.8,2.9,4.6,3.8,2.1,0.4,1,3.9,24.6,NA,105,103
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11 seasons,NA,"STL,ATL",NBA,,215,NA,7271,10.9,22.9,0.487,4.5,5.4,0.795,1.8,3.3,5.1,3.9,2.3,0.4,NA,4,26.3,NA,NA,101
2 seasons,NA,LAL,NBA,,160,NA,3969,9.4,18.6,0.505,2.8,3.4,0.821,1.6,2.1,3.7,3.8,1.7,0.4,2.8,3.8,21.6,NA,105,106
