Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1966-67,22,STL,NBA,SF,9,317,15.5,0.486,0.38,NA,NA,NA,8,NA,NA,NA,NA,NA,0.5,0.2,0.7,0.106,NA,NA,NA,NA,NA
1967-68,23,STL,NBA,SG,6,181,21.2,0.543,0.475,NA,NA,NA,13,NA,NA,NA,NA,NA,0.6,0.1,0.7,0.185,NA,NA,NA,NA,NA
1968-69,24,ATL,NBA,SF,11,424,17.4,0.507,0.241,NA,NA,NA,12.4,NA,NA,NA,NA,NA,0.9,0.4,1.4,0.155,NA,NA,NA,NA,NA
1969-70,25,ATL,NBA,SF,9,360,13.7,0.471,0.267,NA,NA,NA,12.4,NA,NA,NA,NA,NA,0.1,0.3,0.5,0.064,NA,NA,NA,NA,NA
1970-71,26,ATL,NBA,SF,5,213,18,0.507,0.361,NA,NA,7.3,11.4,NA,NA,NA,NA,NA,0.4,0.1,0.5,0.12,NA,NA,NA,NA,NA
1971-72,27,ATL,NBA,SG,6,266,15.5,0.494,0.209,NA,NA,5.8,11.8,NA,NA,NA,NA,NA,0.3,0.1,0.3,0.061,NA,NA,NA,NA,NA
1972-73,28,ATL,NBA,SF,6,255,19.3,0.498,0.175,NA,NA,8.6,10.1,NA,NA,NA,NA,NA,0.4,0.2,0.7,0.123,NA,NA,NA,NA,NA
1977-78,33,LAL,NBA,SG,3,93,11.4,0.421,0.211,7.5,2.4,5.1,13.2,2.6,0,10.7,19.7,NA,0.1,0,0.1,0.053,NA,-1.3,-0.5,-1.7,0
1978-79,34,LAL,NBA,SG,6,90,12.1,0.563,0.125,1.4,3.5,2.5,12.4,0.5,0,12.9,18.4,NA,0.1,0,0.1,0.038,NA,-0.4,-1.8,-2.2,0
Career,NA,,NBA,,61,2199,16.4,0.497,0.28,4.5,2.9,6.5,11.4,1.6,0,11.7,19.1,NA,3.4,1.5,4.9,0.108,NA,-0.8,-1.1,-2,0
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,"STL,ATL",NBA,,52,2016,16.8,0.498,0.287,NA,NA,7.2,11.3,NA,NA,NA,NA,NA,3.3,1.5,4.8,0.114,NA,NA,NA,NA,NA
2 seasons,NA,LAL,NBA,,9,183,11.8,0.485,0.171,4.5,2.9,3.8,12.8,1.6,0,11.7,19.1,NA,0.2,0,0.2,0.046,NA,-0.8,-1.1,-2,0
