Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1966-67,22,STL,NBA,SF,80,2446,15.3,0.5,0.246,NA,NA,NA,5.9,NA,NA,NA,NA,NA,3.4,1.5,4.9,0.097,NA,NA,NA,NA,NA
1967-68,23,STL,NBA,SG,46,966,16.1,0.502,0.328,NA,NA,NA,10.4,NA,NA,NA,NA,NA,1.3,0.9,2.2,0.11,NA,NA,NA,NA,NA
1968-69,24,ATL,NBA,SF,81,2869,18.7,0.538,0.299,NA,NA,NA,11.3,NA,NA,NA,NA,NA,7.8,2.3,10.1,0.168,NA,NA,NA,NA,NA
1969-70,25,ATL,NBA,SF,80,3091,19,0.576,0.288,NA,NA,NA,12.8,NA,NA,NA,NA,NA,9.8,1.3,11.1,0.172,NA,NA,NA,NA,NA
1970-71,26,ATL,NBA,SF,76,3113,18.2,0.527,0.293,NA,NA,5.6,12.7,NA,NA,NA,NA,NA,6.9,1,7.9,0.122,NA,NA,NA,NA,NA
1971-72,27,ATL,NBA,SG,77,3042,19.1,0.549,0.279,NA,NA,6.2,16.2,NA,NA,NA,NA,NA,8.2,1.5,9.7,0.154,NA,NA,NA,NA,NA
1972-73,28,ATL,NBA,SF,75,3027,19,0.528,0.281,NA,NA,7.4,12.8,NA,NA,NA,NA,NA,7.2,2.1,9.3,0.148,NA,NA,NA,NA,NA
1973-74,29,ATL,NBA,SF,65,2588,19.5,0.546,0.26,4.8,8.9,6.8,12.7,2.7,0.6,NA,NA,NA,6.5,2.4,8.8,0.164,NA,2.6,0.3,2.9,3.2
1974-75,30,ATL,NBA,SG,11,380,17.4,0.484,0.253,3.4,9,6,17.3,1.5,0.3,NA,NA,NA,0.6,0.2,0.8,0.1,NA,1.4,-1,0.5,0.2
1975-76,31,ATL,NBA,SG,81,2558,16.8,0.516,0.241,4.1,8.1,6,13.7,2.2,0.4,NA,NA,NA,4.6,1.3,5.9,0.111,NA,1.1,-0.4,0.7,1.7
1976-77,32,ATL,NBA,SG,58,1745,14.7,0.494,0.187,2.9,5,3.9,14.9,1.8,0.6,NA,NA,NA,1.9,0.8,2.7,0.074,NA,0.2,-0.9,-0.6,0.6
1977-78,33,LAL,NBA,SG,82,2283,14.2,0.525,0.178,3.7,4.7,4.2,11.6,1.9,0.3,12.3,20.9,NA,2.8,1.3,4.2,0.088,NA,-0.2,-0.7,-1,0.6
1978-79,34,LAL,NBA,SG,78,1686,13.7,0.556,0.195,4.4,4.6,4.5,10.8,1.6,0.5,12.5,18.7,NA,2.3,1.1,3.3,0.095,NA,-0.1,-0.9,-1.1,0.4
Career,NA,,NBA,,890,29794,17.4,0.532,0.262,4,6.6,5.8,12.4,2.1,0.5,12.4,20,NA,63.4,17.6,81,0.131,NA,0.9,-0.5,0.4,6.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11 seasons,NA,"STL,ATL",NBA,,730,25825,18,0.531,0.271,4,7.7,6.1,12.6,2.2,0.5,NA,NA,NA,58.3,15.2,73.5,0.137,NA,1.4,-0.3,1.1,5.8
2 seasons,NA,LAL,NBA,,160,3969,14,0.537,0.185,4,4.7,4.3,11.3,1.7,0.4,12.4,20,NA,5.1,2.4,7.5,0.091,NA,-0.2,-0.8,-1,1
