Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1966-67,22,STL,NBA,SF,80,NA,2446,620,1328,0.467,231,327,0.706,NA,NA,435,95,NA,NA,NA,277,1471
1967-68,23,STL,NBA,SG,46,NA,966,227,500,0.454,120,164,0.732,NA,NA,193,65,NA,NA,NA,113,574
1968-69,24,ATL,NBA,SF,81,NA,2869,716,1455,0.492,338,435,0.777,NA,NA,533,216,NA,NA,NA,248,1770
1969-70,25,ATL,NBA,SF,80,NA,3091,830,1564,0.531,371,450,0.824,NA,NA,373,276,NA,NA,NA,225,2031
1970-71,26,ATL,NBA,SF,76,NA,3113,829,1713,0.484,381,502,0.759,NA,NA,386,257,NA,NA,NA,186,2039
1971-72,27,ATL,NBA,SG,77,NA,3042,775,1540,0.503,349,430,0.812,NA,NA,385,309,NA,NA,NA,225,1899
1972-73,28,ATL,NBA,SF,75,NA,3027,816,1710,0.477,397,481,0.825,NA,NA,467,258,NA,NA,NA,197,2029
1973-74,29,ATL,NBA,SF,65,NA,2588,678,1356,0.5,295,353,0.836,126,224,350,213,160,29,NA,205,1651
1974-75,30,ATL,NBA,SG,11,NA,380,97,225,0.431,48,57,0.842,14,33,47,40,13,2,NA,33,242
1975-76,31,ATL,NBA,SG,81,NA,2558,569,1205,0.472,237,291,0.814,104,196,300,214,124,17,NA,241,1375
1976-77,32,ATL,NBA,SG,58,NA,1745,413,905,0.456,142,169,0.84,48,81,129,155,67,19,NA,160,968
1977-78,33,LAL,NBA,SG,82,NA,2283,493,992,0.497,137,177,0.774,80,108,188,193,94,14,150,196,1123
1978-79,34,LAL,NBA,SG,78,NA,1686,329,636,0.517,110,124,0.887,64,76,140,141,58,17,99,133,768
Career,NA,,NBA,,890,NA,29794,7392,15129,0.489,3156,3960,0.797,436,718,3926,2432,516,98,249,2439,17940
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11 seasons,NA,"STL,ATL",NBA,,730,NA,25825,6570,13501,0.487,2909,3659,0.795,292,534,3598,2098,364,67,NA,2110,16049
2 seasons,NA,LAL,NBA,,160,NA,3969,822,1628,0.505,247,301,0.821,144,184,328,334,152,31,249,329,1891
