Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1966-67,22,STL,NBA,SF,9,NA,317,8.7,20.3,0.43,5.6,7.7,0.721,NA,NA,5.5,1.7,NA,NA,NA,4,23.1
1967-68,23,STL,NBA,SG,6,NA,181,8.8,19.7,0.444,8.4,9.3,0.894,NA,NA,8.6,2.8,NA,NA,NA,4.2,25.9
1968-69,24,ATL,NBA,SF,11,NA,424,8.6,18.3,0.468,3.4,4.4,0.769,NA,NA,5,2.7,NA,NA,NA,3.7,20.5
1969-70,25,ATL,NBA,SF,9,NA,360,7.8,18.7,0.417,4.1,5,0.82,NA,NA,4,3.3,NA,NA,NA,3.4,19.7
1970-71,26,ATL,NBA,SF,5,NA,213,8.3,18.3,0.454,4.9,6.6,0.744,NA,NA,5.9,2.5,NA,NA,NA,3.2,21.5
1971-72,27,ATL,NBA,SG,6,NA,266,8.5,18.8,0.453,3.2,3.9,0.828,NA,NA,4.5,2.8,NA,NA,NA,1.8,20.3
1972-73,28,ATL,NBA,SF,6,NA,255,10.7,23.4,0.458,3.7,4.1,0.897,NA,NA,6.6,2.4,NA,NA,NA,2.3,25.1
1977-78,33,LAL,NBA,SG,3,NA,93,5.4,14.7,0.368,2.7,3.1,0.875,2.7,0.8,3.5,3.5,1.9,0,1.9,3.5,13.5
1978-79,34,LAL,NBA,SG,6,NA,90,6.8,12.8,0.531,1.6,1.6,1,0.4,1.2,1.6,3.2,0.4,0,2,2.4,15.2
Career,NA,,NBA,,61,NA,2199,8.5,19.1,0.446,4.3,5.3,0.804,1.6,1,5.2,2.7,1.2,0,2,3.2,21.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,"STL,ATL",NBA,,52,NA,2016,8.7,19.5,0.446,4.5,5.6,0.799,NA,NA,5.4,2.6,NA,NA,NA,3.2,21.9
2 seasons,NA,LAL,NBA,,9,NA,183,6.1,13.8,0.443,2.2,2.4,0.917,1.6,1,2.6,3.3,1.2,0,2,3,14.4
