Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1966-67,22,STL,NBA,SF,9,NA,35.2,8.6,19.9,0.43,5.4,7.6,0.721,NA,NA,5.3,1.7,NA,NA,NA,3.9,22.6
1967-68,23,STL,NBA,SG,6,NA,30.2,7.3,16.5,0.444,7,7.8,0.894,NA,NA,7.2,2.3,NA,NA,NA,3.5,21.7
1968-69,24,ATL,NBA,SF,11,NA,38.5,9.2,19.6,0.468,3.6,4.7,0.769,NA,NA,5.4,2.9,NA,NA,NA,3.9,22
1969-70,25,ATL,NBA,SF,9,NA,40,8.7,20.8,0.417,4.6,5.6,0.82,NA,NA,4.4,3.7,NA,NA,NA,3.8,21.9
1970-71,26,ATL,NBA,SF,5,NA,42.6,9.8,21.6,0.454,5.8,7.8,0.744,NA,NA,7,3,NA,NA,NA,3.8,25.4
1971-72,27,ATL,NBA,SG,6,NA,44.3,10.5,23.2,0.453,4,4.8,0.828,NA,NA,5.5,3.5,NA,NA,NA,2.2,25
1972-73,28,ATL,NBA,SF,6,NA,42.5,12.7,27.7,0.458,4.3,4.8,0.897,NA,NA,7.8,2.8,NA,NA,NA,2.7,29.7
1977-78,33,LAL,NBA,SG,3,NA,31,4.7,12.7,0.368,2.3,2.7,0.875,2.3,0.7,3,3,1.7,0,1.7,3,11.7
1978-79,34,LAL,NBA,SG,6,NA,15,2.8,5.3,0.531,0.7,0.7,1,0.2,0.5,0.7,1.3,0.2,0,0.8,1,6.3
Career,NA,,NBA,,61,NA,36,8.5,19.1,0.446,4.3,5.3,0.804,0.9,0.6,5.2,2.7,0.7,0,1.1,3.2,21.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,"STL,ATL",NBA,,52,NA,38.8,9.4,21,0.446,4.8,6,0.799,NA,NA,5.9,2.8,NA,NA,NA,3.5,23.6
2 seasons,NA,LAL,NBA,,9,NA,20.3,3.4,7.8,0.443,1.2,1.3,0.917,0.9,0.6,1.4,1.9,0.7,0,1.1,1.7,8.1
