Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69,24,ATL,NBA,SF,1,0,20:00,6,13,0.462,1,1,1,NA,1,1,NA,NA,NA,0,13
1969-70,25,ATL,NBA,SF,1,1,18:00,5,12,0.417,5,5,1,NA,1,0,NA,NA,NA,1,15
1970-71,26,ATL,NBA,SF,1,0,17:00,6,13,0.462,2,3,0.667,NA,3,1,NA,NA,NA,3,14
1971-72,27,ATL,NBA,SG,1,1,18:00,2,7,0.286,2,2,1,NA,3,3,NA,NA,NA,3,6
1972-73,28,ATL,NBA,SF,1,0,9:00,2,8,0.25,2,2,1,NA,2,0,NA,NA,NA,2,6
1973-74,29,ATL,NBA,SF,1,1,17:00,5,8,0.625,2,2,1,1,3,1,0,1,NA,2,12
Career,NA,,NBA,,6,3,99,26,61,0.426,14,15,0.933,1,13,6,0,1,NA,11,66
