Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1966-67,22,STL,NBA,SF,80,NA,2446,9.1,19.5,0.467,3.4,4.8,0.706,NA,NA,6.4,1.4,NA,NA,NA,4.1,21.7
1967-68,23,STL,NBA,SG,46,NA,966,8.5,18.6,0.454,4.5,6.1,0.732,NA,NA,7.2,2.4,NA,NA,NA,4.2,21.4
1968-69,24,ATL,NBA,SF,81,NA,2869,9,18.3,0.492,4.2,5.5,0.777,NA,NA,6.7,2.7,NA,NA,NA,3.1,22.2
1969-70,25,ATL,NBA,SF,80,NA,3091,9.7,18.2,0.531,4.3,5.2,0.824,NA,NA,4.3,3.2,NA,NA,NA,2.6,23.7
1970-71,26,ATL,NBA,SF,76,NA,3113,9.6,19.8,0.484,4.4,5.8,0.759,NA,NA,4.5,3,NA,NA,NA,2.2,23.6
1971-72,27,ATL,NBA,SG,77,NA,3042,9.2,18.2,0.503,4.1,5.1,0.812,NA,NA,4.6,3.7,NA,NA,NA,2.7,22.5
1972-73,28,ATL,NBA,SF,75,NA,3027,9.7,20.3,0.477,4.7,5.7,0.825,NA,NA,5.6,3.1,NA,NA,NA,2.3,24.1
1973-74,29,ATL,NBA,SF,65,NA,2588,9.4,18.9,0.5,4.1,4.9,0.836,1.8,3.1,4.9,3,2.2,0.4,NA,2.9,23
1974-75,30,ATL,NBA,SG,11,NA,380,9.2,21.3,0.431,4.5,5.4,0.842,1.3,3.1,4.5,3.8,1.2,0.2,NA,3.1,22.9
1975-76,31,ATL,NBA,SG,81,NA,2558,8,17,0.472,3.3,4.1,0.814,1.5,2.8,4.2,3,1.7,0.2,NA,3.4,19.4
1976-77,32,ATL,NBA,SG,58,NA,1745,8.5,18.7,0.456,2.9,3.5,0.84,1,1.7,2.7,3.2,1.4,0.4,NA,3.3,20
1977-78,33,LAL,NBA,SG,82,NA,2283,7.8,15.6,0.497,2.2,2.8,0.774,1.3,1.7,3,3,1.5,0.2,2.4,3.1,17.7
1978-79,34,LAL,NBA,SG,78,NA,1686,7,13.6,0.517,2.3,2.6,0.887,1.4,1.6,3,3,1.2,0.4,2.1,2.8,16.4
Career,NA,,NBA,,890,NA,29794,8.9,18.3,0.489,3.8,4.8,0.797,1.4,2.3,4.7,2.9,1.7,0.3,2.3,2.9,21.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11 seasons,NA,"STL,ATL",NBA,,730,NA,25825,9.2,18.8,0.487,4.1,5.1,0.795,1.4,2.6,5,2.9,1.8,0.3,NA,2.9,22.4
2 seasons,NA,LAL,NBA,,160,NA,3969,7.5,14.8,0.505,2.2,2.7,0.821,1.3,1.7,3,3,1.4,0.3,2.3,3,17.2
