Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Wilbur Holland,,5.9,4.4,3.8,-0.1
Rory Sparrow,93.9,5.6,4.2,4.2,-0.1
Chick Reiser,92.0,5.5,3.9,3.7,NA
Gail Goodrich,91.1,6.3,4.4,3.6,0.7
Gary Harris,90.3,5.5,4.6,4,-0.7
Eddie Miles,89.9,6,4,3.7,-0.9
Ted McClain,89.8,7,4.2,4.1,-0.1
Jimmy Walker,88.6,6.2,5.1,3.6,0.4
Michael Cooper,87.6,5,5,4,0
Mike Conley,86.2,6.6,4.5,4,1.1
Chris Childs,85.8,5.8,3.9,3.7,1.2
