Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Wilbur Holland,,5.9,4.4,3.8,-0.1,NA,NA,NA,NA,NA
Chick Reiser,92.0,5.5,3.9,3.7,NA,NA,NA,NA,NA,NA
Spencer Dinwiddie,86.0,5.7,4.8,2.8,0.1,0.1,NA,NA,NA,NA
Malcolm Brogdon,85.1,6.5,4.1,2.7,NA,NA,NA,NA,NA,NA
Rudy Fernández,80.5,6.1,3.8,3,1.2,NA,NA,NA,NA,NA
Bob Donham,77.3,6.1,4.5,3.8,3.5,NA,NA,NA,NA,NA
Luther Head,76.1,5.7,3.5,3.5,0.9,0.6,0.6,NA,NA,NA
Randy Wittman,75.9,5.9,4.2,3.5,1.6,1.2,0.7,0,0,0
Don Carlson,75.0,5.8,2.8,2.6,0.2,NA,NA,NA,NA,NA
Gary Harris,74.3,5.5,4.6,4,2.6,-0.7,NA,NA,NA,NA
Jim Seminoff,73.9,5.4,4.5,3.6,3.4,NA,NA,NA,NA,NA
