Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1975-76,24,ATL,NBA,SG,33,NA,351,11.2,28.1,0.399,2.9,4.5,0.647,2,3.4,5.4,3.4,2.6,0.3,NA,6.3,25.3,NA,NA,102
1976-77,25,CHI,NBA,SG,79,NA,2453,10,21.9,0.454,3.1,3.8,0.823,1.5,3.4,4.9,4.9,3.3,0.3,NA,3.9,23,NA,NA,96
1977-78,26,CHI,NBA,SG,82,NA,2884,9.3,21.1,0.443,3.7,4.6,0.799,1.7,3.1,4.8,5.1,2.7,0.2,3.7,4.2,22.3,NA,98,103
1978-79,27,CHI,NBA,SG,82,NA,2483,8.4,17.7,0.473,2.6,3.3,0.801,1.5,3.3,4.8,6.2,2.3,0.2,3.5,4.5,19.4,NA,101,105
Career,NA,,NBA,,276,NA,8171,9.3,20.6,0.452,3.1,3.9,0.799,1.6,3.3,4.9,5.3,2.7,0.3,2.4,4.3,21.7,NA,100,102
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,CHI,NBA,,243,NA,7820,9.2,20.2,0.455,3.2,3.9,0.807,1.6,3.3,4.8,5.4,2.8,0.3,2.5,4.2,21.6,NA,100,102
1 season,NA,ATL,NBA,,33,NA,351,11.2,28.1,0.399,2.9,4.5,0.647,2,3.4,5.4,3.4,2.6,0.3,NA,6.3,25.3,NA,NA,102
