Thru 14 Years,Thru 14 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
George Gervin,,12,11.4,10.7,10.6,10.5,10.5,10,9.4,9.3,7.3,5.5,4.6,3,1.6
Steve Nash,92.6,12.6,12.4,11.6,10.9,10.5,9.9,9.9,8.8,8.4,7.3,4.8,3,1,0.7
Ray Allen,89.3,13.7,11.1,10.7,10.1,9.7,9.5,9.1,8.9,7.9,7,6.9,6.3,5.2,4.9
Jeff Hornacek,89.0,11.6,10.2,10.2,10.1,9.7,9.5,8.7,7.7,6.9,6.5,6.3,5.3,5,1.2
Chauncey Billups,86.7,15.5,13.5,12.1,11.4,11.3,10.1,9.9,9.5,8,7.6,3.7,3,2.3,0.1
Gary Payton,86.1,13.9,12.9,12.6,12.5,11.7,11.5,10.8,9.3,9.1,8.1,7.8,7.2,3.9,3.4
Allen Iverson,85.9,11.8,11.6,10.6,9.2,9,9,7.2,6.9,6.9,6.2,4.1,2.9,2.8,0.7
Clyde Drexler,85.8,13.2,12.8,12.6,12.4,11.7,11.6,10.3,8.1,7.5,6.8,6.7,6.7,6,2.4
Jason Kidd,85.7,11.3,10.1,9.6,9.3,8.9,8.5,8.1,8,7.2,7.2,5.9,4.4,4.3,3.7
Vince Carter,85.5,12.9,11.8,10.5,9.4,9.3,7.7,7.5,7.4,7,6,5,4.2,3.8,2.9
Manu Ginóbili,84.2,11.1,11,10.6,9.9,9.7,9.1,8.8,5.7,5,4.5,4.2,4.2,3.8,3.7
