,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1972-73,20,VIR,ABA,,10,,1,,,,8,10,,,,,,,,,25,
1973-74,21,TOT,ABA,,11,,1,,,,9,9,,,,,,,,,25,
1973-74,21,SAA,ABA,,11,,1,,,,9,9,,,,,,,,,25,
1974-75,22,SAA,ABA,,16,,3,,,,10,13,,,,,,,,,42,
1975-76,23,SAA,ABA,,15,,0,,,,12,15,,,,,,,,,37,
1976-77,24,SAS,NBA,,10,23,,,,,10,12,,,7,2,1,1,,,30,
1977-78,25,SAS,NBA,,17,32,,,,,12,17,,,7,5,2,4,4,5,46,
1978-79,26,SAS,NBA,,19,31,,,,,10,13,,,12,5,,,,6,42,
1979-80,27,SAS,NBA,,19,29,0,,19,,13,13,,,,,,,,,44,
1980-81,28,SAS,NBA,,14,25,0,,14,,9,12,,,8,9,,,,6,33,
1981-82,29,SAS,NBA,,16,31,0,,16,,14,16,,,15,7,,,,6,39,
1982-83,30,SAS,NBA,,17,24,0,1,17,24,11,12,,,10,5,2,1,,6,42,
1984-85,32,SAS,NBA,,16,25,0,2,16,23,9,11,2,4,6,4,2,1,6,5,41,30.0
1985-86,33,CHI,NBA,,0,1,0,0,0,1,0,0,0,1,1,1,0,0,2,2,0,0.3
Career,,,TOT,,19,,,,,,14,17,,,,,,,,,46,
,,,NBA,,19,32,,,19,,14,17,,,,,,,,,46,
,,,ABA,,16,,3,,,,12,15,,,,,,,,,42,
,,,,,,,,,,,,,,,,,,,,,,
11 Seasons,,"SAA,SAS",NBA,,19,,,,,,14,17,,,,,,,,,46,
1 Season,,VIR,ABA,,10,,1,,,,8,10,,,,,,,,,25,
1 Season,,CHI,NBA,,0,1,0,0,0,1,0,0,0,1,1,1,0,0,2,2,0,0.3
