Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1973-74,21,VIR,ABA,SG,1,NA,21:00,3,9,0.333,0,1,0,3,4,0.75,1,5,3,0,0,2,1,9
1974-75,22,SAA,ABA,SF,1,NA,30:00,8,15,0.533,0,1,0,7,8,0.875,2,6,3,6,5,2,2,23
1975-76,23,SAA,ABA,SF,1,NA,16:00,3,13,0.231,1,2,0.5,1,2,0.5,NA,6,1,NA,NA,NA,1,8
1976-77,24,SAS,NBA,SF,1,0,12:00,0,6,0,NA,NA,NA,0,0,NA,0,1,0,0,1,NA,1,0
1977-78,25,SAS,NBA,SG,1,1,18:00,4,11,0.364,NA,NA,NA,1,3,0.333,1,2,1,2,1,2,2,9
1978-79,26,SAS,NBA,SF,1,1,34:00,8,16,0.5,NA,NA,NA,10,11,0.909,2,6,2,1,1,3,4,26
1979-80,27,SAS,NBA,SG,1,1,40:00,14,26,0.538,0,0,NA,6,9,0.667,4,10,3,3,0,3,2,34
1980-81,28,SAS,NBA,SG,1,1,24:00,5,9,0.556,0,0,NA,1,2,0.5,1,3,0,2,1,2,3,11
1981-82,29,SAS,NBA,SG,1,1,27:00,5,14,0.357,0,0,NA,2,2,1,1,6,1,3,3,0,3,12
1982-83,30,SAS,NBA,SG,1,0,14:00,3,8,0.375,1,1,1,2,2,1,0,0,3,2,0,0,3,9
1983-84,31,SAS,NBA,SG,1,1,21:00,5,6,0.833,0,0,NA,3,3,1,0,2,1,0,1,6,5,13
1984-85,32,SAS,NBA,SG,1,1,25:00,10,12,0.833,0,0,NA,3,4,0.75,0,3,1,3,1,4,2,23
Career,NA,,TOT,,12,7,282,68,145,0.469,2,5,0.4,39,50,0.78,12,50,19,22,14,24,29,177
,NA,,NBA,,9,7,215,54,108,0.5,1,1,1,28,36,0.778,9,33,12,16,9,20,25,137
,NA,,ABA,,3,NA,67,14,37,0.378,1,4,0.25,11,14,0.786,3,17,7,6,5,4,4,40
