Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Ben Gordon,,8.6,6.9,5.1,4.4,3.5,2.1,1.7,1.7,0.3,-0.3,-0.6
Flynn Robinson,89.4,9.3,6.7,4.9,3.6,3.3,2.2,1.3,1.2,NA,NA,NA
Scott Skiles,88.6,8,7,4.5,4.4,3.2,2,1.3,0.3,0.1,-0.2,NA
Butch Beard,87.7,7.6,5.9,5.6,4.4,3.7,2.2,2,1.5,0,NA,NA
Micheal Ray Richardson,86.9,8.7,6.9,6,5.5,3.3,2.4,2,0.3,NA,NA,NA
Steve Jones,86.2,8.2,7.1,5.6,5.4,4.4,2.7,1.6,1.1,0.8,NA,NA
Ronnie Brewer,85.0,7.8,6.8,5.4,3.9,3.7,1.7,1.1,0,NA,NA,NA
Bill Melchionni,83.0,8.4,6.5,4.8,3.3,1.8,1.6,1.5,1.1,-0.1,NA,NA
Fred Scolari,82.8,8.5,5.6,5.4,4.5,3.1,2.7,1.2,-0.7,NA,NA,NA
Eric Bledsoe,82.6,8.2,7,5.6,5.3,4.1,3.7,2.5,0.3,0.2,NA,NA
Johnny Moore,82.3,7.2,6.6,5.8,3.8,3.2,2.1,1.2,0.3,-0.1,NA,NA
