Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Kevin Johnson,,12.7,12.2,11.7,11.6,10,8.7,8.2,5.1,4.8,4,3.5,0.5
Steve Nash,91.0,12.6,12.4,11.6,10.9,10.5,9.9,8.8,8.4,4.8,3,1,0.7
Russell Westbrook,90.3,14,13.1,11.6,10.6,10.1,9.4,7.9,6.8,6.1,5.2,1.9,NA
Terry Porter,89.3,13,11.7,10.6,9.8,9.2,8.8,6.8,5.4,3.7,2.7,2.3,1.7
Manu Ginóbili,87.8,11.1,11,10.6,9.9,9.7,9.1,8.8,5.7,5,4.5,4.2,4.2
Sidney Moncrief,87.7,13.4,13.2,12.7,11.7,11.2,9.9,5,4.9,3.7,2.9,1.8,NA
Tim Hardaway,86.4,12.9,11.7,9.9,9.2,7.5,7.3,6.4,5.4,5.1,4.3,3.3,1.8
Kyle Lowry,85.4,11.7,11.6,10.2,10.1,7.1,7,5.6,4.9,4.3,3.6,3.4,0.5
Chauncey Billups,85.2,15.5,13.5,12.1,11.4,11.3,10.1,9.9,7.6,3.7,3,2.3,0.1
Allen Iverson,85.2,11.8,11.6,10.6,9.2,9,9,7.2,6.9,6.9,6.2,4.1,2.8
Dwyane Wade,85.2,14.7,14.4,13,12.8,11,9.6,8.8,7.7,5.5,4.6,3.5,3.3
