Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Kevin Grevey,,5.8,4.4,3.6,3.4,3.3,2.1,2,1,0.7,0.1
Vernon Maxwell,90.4,5.9,3.9,3.9,3.5,2.8,1.9,1.5,0.9,0.8,0
Pooh Richardson,89.5,5.9,4.4,4.1,4,3.8,2.1,1.4,1,0.2,-0.1
Steve Blake,89.4,5.8,3.8,3.3,2.8,2.4,2.1,1.8,1,0.7,0.3
Jeremy Lin,89.1,5.4,4.4,3.5,2.7,2.7,2.1,2.1,0.5,0,NA
Henry Bibby,88.4,4.7,4.1,3.7,3.4,2.9,2.3,1.5,1,1,NA
Bimbo Coles,87.8,5.7,5,3.2,3,2.8,2.7,2.3,1.1,0.9,0.5
Dell Curry,87.8,5.1,5,3.4,3.3,3.2,2.7,2,1.8,0.9,0.5
Hubert Davis,87.8,5.6,4.8,4.2,3.4,2.5,2.2,1.7,1.6,1.2,0.1
Jodie Meeks,87.5,5.1,4.5,4.1,3.1,3,2,1.1,0.9,0.3,0.1
Larry Steele,86.8,5.7,5.2,4.8,3.6,3,2,1.9,1.6,0.5,NA
