Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Ryan Humphrey,,0.1,0,-0.5,NA
Brian Evans,24.8,1.5,0.1,0.1,NA
Mouhamed Sene,-1.6,0.2,0.2,0,NA
Jacky Dorsey,-3.7,0.2,0.2,-0.1,NA
Maciej Lampe,-11.1,0.1,-0.1,-0.2,NA
Mark Randall,-40.4,0.5,0.3,0.2,0
Dennis Bell,-44.1,0.1,0,0,NA
Alando Tucker,-49.3,0.2,0.1,0,NA
Luke Jackson,-49.8,0.1,0.1,0,0
Cedric Simmons,-50.5,0.3,0,-0.2,NA
J.J. Anderson,-56.5,2.3,0.2,0.1,NA
