Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Bruno Caboclo,,1.5,0.1,0,-0.1,-0.3
Damian Jones,69.5,1.5,0.1,0,NA,NA
Perry Jones,67.2,1.5,0.2,0,NA,NA
Mark Pope,66.7,1.3,0.1,0,-0.1,-0.1
Brian Evans,65.6,1.5,0.1,0.1,NA,NA
Damjan Rudež,55.3,1.3,0.1,0.1,NA,NA
Michael Bradley,53.7,1.5,0.2,0.1,0.1,0
Mario Bennett,53.1,1.5,0.5,0,-0.1,NA
Larry Demic,52.5,1.6,-0.1,-0.1,NA,NA
Qyntel Woods,49.6,1.3,0.2,0,-0.2,NA
Roy Rogers,49.2,1.4,0.4,-0.1,NA,NA
