Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Bruno Caboclo,,1.5,0.1,0,-0.1,-0.3,NA
Damian Jones,69.5,1.5,0.1,0,NA,NA,NA
Perry Jones,67.2,1.5,0.2,0,NA,NA,NA
Brian Evans,65.6,1.5,0.1,0.1,NA,NA,NA
Damjan Rudež,55.3,1.3,0.1,0.1,NA,NA,NA
Michael Bradley,53.7,1.5,0.2,0.1,0.1,0,NA
Mario Bennett,53.1,1.5,0.5,0,-0.1,NA,NA
Larry Demic,52.5,1.6,-0.1,-0.1,NA,NA,NA
Qyntel Woods,49.6,1.3,0.2,0,-0.2,NA,NA
Roy Rogers,49.2,1.4,0.4,-0.1,NA,NA,NA
Mark Pope,49.1,1.3,0.1,0,0,-0.1,-0.1
