Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jason Collier,,1.2,0.4,0.3,0,0
Bernard James,86.5,1.2,0.5,0.1,NA,NA
Jawann Oldham,85.9,1,0.5,0.3,0,0
Eric Fernsten,80.4,1.2,0.5,0.5,0.2,0
Keith Closs,79.1,1.1,0.6,0.2,NA,NA
Greg Dreiling,77.8,1.1,0.4,0.2,0.2,0.1
Pétur Guðmundsson,76.0,1.4,0.6,0.3,-0.1,NA
Chris Johnson,75.7,1,0.2,0.2,NA,NA
Mark McNamara,75.6,1.2,0.6,0.4,0,-0.2
Daniel Santiago,75.2,1.2,0.6,0,0,NA
Granville Waiters,73.9,1.3,0.5,0.2,0,-0.2
