Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jason Collier,,1.2,0.4,0.3,0,0
Bernard James,86.5,1.2,0.5,0.1,NA,NA
Keith Closs,79.1,1.1,0.6,0.2,NA,NA
Pétur Guðmundsson,76.0,1.4,0.6,0.3,-0.1,NA
Chris Johnson,75.7,1,0.2,0.2,NA,NA
Daniel Santiago,75.2,1.2,0.6,0,0,NA
Granville Waiters,73.9,1.3,0.5,0.2,0,-0.2
Robert Sacre,67.9,1.4,0.8,0.3,-0.1,NA
Rich Johnson,65.4,1.2,0.9,0.1,NA,NA
Stojko Vranković,63.7,0.9,0.4,0.1,0,-0.1
Josh Harrellson,62.2,1.4,0.7,0,NA,NA
