,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2004-05,22,DET,NBA,SG,30,459,,57%,43%,,,-2.2,-7.7,12,4,17,2,13,0,84,2,12
2005-06,23,DET,NBA,SG,68,726,,21%,77%,1%,,-5.0,-16.0,12,9,30,7,31,5,97,3,19
2006-07,24,DET,NBA,SG,82,1372,,31%,69%,,,+3.5,-1.8,30,16,38,7,39,17,197,5,34
2007-08,25,TOR,NBA,SG,82,1928,,50%,47%,2%,,+0.8,-5.0,31,11,81,13,67,17,326,11,32
2009-10,27,MIL,NBA,SF,75,2279,,7%,87%,7%,,+2.8,+2.0,69,23,65,7,52,13,455,10,34
2010-11,28,MIL,NBA,SF,49,1590,,1%,92%,7%,,-3.6,-4.6,34,12,36,3,32,12,249,2,28
2011-12,29,MIL,NBA,SF,54,1537,,45%,55%,,,-6.0,-12.0,41,14,38,3,23,13,267,5,33
2012-13,30,HOU,NBA,SF,67,1689,,19%,77%,5%,,+7.1,+6.1,45,9,35,5,23,1,327,11,26
Career,,,NBA,,507,11580,,26%,71%,3%,,+0.5,-3.3,274,98,340,47,280,78,2002,49,218
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,DET,NBA,,180,2557,,33%,67%,1%,,+0.1,-6.9,54,29,85,16,83,22,378,10,65
3 seasons,,MIL,NBA,,178,5406,,16%,79%,5%,,-1.6,-3.9,144,49,139,13,107,38,971,17,95
1 season,,TOR,NBA,,82,1928,,50%,47%,2%,,+0.8,-5.0,31,11,81,13,67,17,326,11,32
1 season,,HOU,NBA,,67,1689,,19%,77%,5%,,+7.1,+6.1,45,9,35,5,23,1,327,11,26
