Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Carlos Delfino,,4.8,4,3.5,3.5,2.9,2.4,1,0.5,NA,NA
Henry Bibby,90.8,4.7,4.1,3.7,3.4,2.9,2.3,1.5,1,1,NA
Cory Joseph,90.5,4.5,3.5,3.5,3.4,3.1,2.9,0.9,0,NA,NA
Maurice Evans,89.7,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1,NA
John Williamson,89.4,5.1,4.2,3.9,3.4,3.3,2.8,1.3,-0.3,NA,NA
Lionel Hollins,88.6,5.2,4,3.4,2.9,2.5,2.3,1.8,0.6,0.1,0.1
O.J. Mayo,88.2,5.6,4.2,3.5,3.4,2.8,2.4,0.1,-0.1,NA,NA
Jodie Meeks,87.5,5.1,4.5,4.1,3.1,3,2,1.1,0.9,0.3,0.1
Herm Gilliam,86.8,4.9,3.4,2.9,2.7,2.5,2.5,1.4,0.4,NA,NA
Jeremy Lin,86.1,5.4,4.4,3.5,2.7,2.7,2.1,2.1,0.5,0,NA
Marcus Thornton,86.1,4,3.8,3.5,3.2,2,1.7,1.2,0.5,NA,NA
