Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Michael Bradley,,1.5,0.2,0.1,0.1,0
Brian Evans,84.9,1.5,0.1,0.1,NA,NA
Perry Jones,81.6,1.5,0.2,0,NA,NA
Chris Singleton,76.2,1.5,0.5,0.2,NA,NA
Damian Jones,75.5,1.5,0.1,0,NA,NA
Stephen Howard,75.1,1.3,0.2,0.1,0,NA
Joe Roberts,73.0,1.9,0.2,0.2,0,NA
Mario Bennett,69.5,1.5,0.5,0,-0.1,NA
Kornél Dávid,68.3,1.7,0.4,0.3,NA,NA
Alan Williams,66.9,2.1,0.2,0.2,0,NA
Viktor Khryapa,66.8,1.3,0.4,0.3,0,NA
