Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Louis Orr,,4.8,4.3,4.3,3.8,3.7,3.5,1.5,-0.2
Marcus Morris,93.1,5.4,4.5,4.2,4,3.9,3.2,1.8,-0.2
Stephen Jackson,91.1,4.8,4.6,4.4,4.4,4.1,3.1,0.9,-0.1
Chris Gatling,89.0,4.6,4.5,3.9,3.9,3.1,2.4,2,-0.1
Kurt Rambis,88.0,4.8,4.3,4.3,4.1,3.9,2.6,2.3,1.5
Ken Norman,87.1,5.2,4.8,4,4,3.2,2.9,1.9,0.6
Chuck Person,86.7,5.4,5.4,4.6,3.9,3.3,3,1.2,0
Ron Anderson,86.4,4.4,4.1,3.8,3.5,3.1,2.5,1.5,0.3
John Block,86.2,5.5,5.1,4.2,4.2,4.1,4.1,2.3,0.2
Phil Hubbard,86.2,5.7,4.6,4.5,3.4,3.3,2.6,1.6,0.2
Malik Rose,85.9,5.2,4.4,3.8,3.4,3.3,2.6,1.1,0.4
