Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Louis Orr,,4.8,4.3,4.3,3.8,3.7,3.5,1.5,-0.2,NA,NA,NA,NA
Marcus Morris,93.1,5.4,4.5,4.2,4,3.9,3.2,1.8,-0.2,NA,NA,NA,NA
Walter Simon,84.3,6.1,4.8,4.5,4.1,3.4,2.7,2,NA,NA,NA,NA,NA
Ron Anderson,84.0,4.4,4.1,3.8,3.5,3.1,2.5,1.5,0.5,0.5,0.3,NA,NA
P.J. Tucker,83.8,6.1,5,4.9,3.9,3.6,3.5,2.9,0.1,NA,NA,NA,NA
Nate Williams,83.5,4.5,4.3,4,2.9,2.8,2.5,1.9,0.4,NA,NA,NA,NA
Alvin Scott,83.2,4.4,4.3,4,3.8,2.9,1.7,1.2,0.8,NA,NA,NA,NA
Ken Norman,82.8,5.2,4.8,4,4,3.2,2.9,1.9,1.1,0.6,-0.6,NA,NA
Harrison Barnes,82.6,6.7,4.9,4.6,3.8,3.6,3.2,2.8,NA,NA,NA,NA,NA
Danny Fortson,82.5,4.5,4.4,4.3,3.5,2.3,1.9,1.1,0.2,0.2,0,NA,NA
Frank Brickowski,81.0,4.7,4.1,3.8,3.7,3.6,3.4,2.7,1.6,1.1,1,0.4,-0.1
