Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
John Lambert,,1.8,1.5,1,0.9,0.7,0.6,0.4
Eric Leckner,87.3,1.7,1.5,0.9,0.9,0.9,0.2,0.2
Aaron Gray,83.0,1.4,1.3,1.1,0.9,0.8,0.5,0.1
Ryan Hollins,81.5,1.8,1.7,1.2,1.1,1,0.2,0.2
Calvin Booth,74.7,2.2,2.1,1,0.8,0.5,0.4,0.1
Johan Petro,72.0,1.7,1,0.8,0.7,0.4,0.4,0.2
Jelani McCoy,69.2,1.5,1.4,1.1,1,0.1,0,0
Luther Rackley,67.4,1.9,1.8,1.3,0.8,0.1,NA,NA
Walt Davis,66.0,1.6,0.9,0.9,0.8,0.6,NA,NA
Rickey Brown,65.8,1.8,0.9,0.9,0.7,0.4,NA,NA
Predrag Drobnjak,62.0,2.4,1.6,1,0.7,NA,NA,NA
