Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
John Lambert,,1.8,1.5,1,0.9,0.7,0.6,0.4,NA,NA,NA,NA,NA
Eric Leckner,86.0,1.7,1.5,0.9,0.9,0.9,0.2,0.2,-0.1,NA,NA,NA,NA
Aaron Gray,83.0,1.4,1.3,1.1,0.9,0.8,0.5,0.1,NA,NA,NA,NA,NA
Calvin Booth,75.9,2.2,2.1,1,0.8,0.6,0.5,0.4,0.3,0.1,0.1,NA,NA
Greg Kite,75.9,2,1.4,0.8,0.7,0.6,0.3,0.1,0.1,0.1,0,-0.1,-0.3
Johan Petro,71.9,1.7,1,0.8,0.7,0.4,0.4,0.4,0.2,NA,NA,NA,NA
Jelani McCoy,68.9,1.5,1.4,1.1,1,0.1,0,0,0,NA,NA,NA,NA
Luther Rackley,67.4,1.9,1.8,1.3,0.8,0.1,NA,NA,NA,NA,NA,NA,NA
Walt Davis,66.0,1.6,0.9,0.9,0.8,0.6,NA,NA,NA,NA,NA,NA,NA
Rickey Brown,65.8,1.8,0.9,0.9,0.7,0.4,NA,NA,NA,NA,NA,NA,NA
Ryan Hollins,65.3,1.8,1.7,1.3,1.2,1.1,1,1,1,0.2,0.2,NA,NA
