Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Jerome Lane,,1.2,0.6,0.5,0.1,-0.2,NA,NA,NA
Tremaine Fowlkes,75.9,1.2,0.5,0.4,0,NA,NA,NA,NA
Ben McDonald,75.6,1.3,0.7,0.3,0.2,NA,NA,NA,NA
Patrick McFarland,75.6,1.3,0.7,0.4,NA,NA,NA,NA,NA
Shavlik Randolph,75.3,1.1,0.7,0.4,0.1,0,0,0,0
James Michael McAdoo,73.9,1.1,0.8,0.5,0,NA,NA,NA,NA
Calvin Garrett,73.6,1.4,0.6,0.6,0,NA,NA,NA,NA
Yi Jianlian,71.4,1.3,0.7,0.7,0.4,0,NA,NA,NA
Maceo Baston,70.7,1.1,0.5,0.4,0.3,NA,NA,NA,NA
Bo Ellis,69.5,1.1,0.9,0.5,NA,NA,NA,NA,NA
Joe Holland,69.5,1.2,0.6,0.2,NA,NA,NA,NA,NA
