Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Victor Alexander,,3,2.5,2.3,1.1,-0.1
Gene Wiley,88.9,2.8,2.4,1.8,1.3,-0.1
Joe Kleine,87.2,3.1,2.6,2.3,1,0.9
Meyers Leonard,85.7,2.8,2.4,2.2,1.4,0.6
Jake Voskuhl,85.5,3.3,2.7,2.5,0.6,0
Salah Mejri,85.3,3,2.7,1.3,1.1,NA
Will Perdue,85.3,2.5,2.5,2.3,0.5,-0.1
Bob Hopkins,85.0,3.5,2.7,1.9,1.4,NA
Vitaly Potapenko,84.8,3.4,2.5,2.2,1.5,0.5
Francisco Elson,84.7,3.1,2.9,1.8,1.6,0
Spencer Hawes,84.0,2.9,2.4,2.1,0.8,0.6
