Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1979-80,23,BOS,NBA,PF,1,0,23:00,3,6,0.5,1,2,0.5,0,0,NA,3,6,7,1,0,3,1,7
1980-81,24,BOS,NBA,PF,1,1,18:00,1,5,0.2,0,0,NA,0,0,NA,1,4,3,1,0,2,1,2
1981-82,25,BOS,NBA,PF,1,1,28:00,7,12,0.583,0,0,NA,5,8,0.625,0,12,5,1,1,4,3,19
1982-83,26,BOS,NBA,PF,1,1,29:00,7,14,0.5,0,1,0,0,0,NA,3,13,7,2,0,5,4,14
1983-84,27,BOS,NBA,PF,1,1,33:00,6,18,0.333,0,0,NA,4,4,1,1,7,3,2,0,2,1,16
1984-85,28,BOS,NBA,SF,1,1,31:00,8,16,0.5,0,1,0,5,6,0.833,5,8,2,0,1,4,3,21
1985-86,29,BOS,NBA,SF,1,1,35:00,8,18,0.444,2,4,0.5,5,6,0.833,2,8,5,7,0,4,5,23
1986-87,30,BOS,NBA,SF,1,1,35:00,7,18,0.389,0,3,0,4,4,1,2,6,5,2,0,2,5,18
1987-88,31,BOS,NBA,SF,1,1,32:00,2,8,0.25,0,1,0,2,2,1,0,7,1,4,1,2,4,6
1989-90,33,BOS,NBA,SF,1,1,23:00,3,8,0.375,0,1,0,2,2,1,2,8,3,3,0,3,1,8
1990-91,34,BOS,NBA,SF,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-92,35,BOS,NBA,SF,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Career,NA,,NBA,,10,9,287,52,123,0.423,3,13,0.231,27,32,0.844,19,79,41,23,3,31,28,134
