,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1957-58,24,BOS,NBA,,6,8,4,6,8,,3,16
1958-59,25,BOS,NBA,,6,15,9,10,11,,3,21
1959-60,26,BOS,NBA,,8,17,4,5,5,3,3,18
1960-61,27,BOS,NBA,,11,21,7,8,,4,4,22
1961-62,28,BOS,NBA,,17,31,6,12,18,7,4,35
1962-63,29,BOS,NBA,,18,28,11,12,15,,6,47
1963-64,30,BOS,NBA,,13,26,8,10,7,,5,33
1964-65,31,BOS,NBA,,16,32,13,15,8,4,6,40
1965-66,32,BOS,NBA,,15,29,14,16,,,,42
1966-67,33,BOS,NBA,,19,,13,17,,,,51
1967-68,34,BOS,NBA,,15,,7,11,,,,37
1968-69,35,BOS,NBA,,13,31,6,8,7,6,6,29
Career,,,,,19,,14,17,,,,51
