Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Sam Jones,,12.8,10,9.6,9.6,8.9,8.1,7.7,7.5,5.9,5.3,4.9,2.1
Jason Kidd,92.7,11.3,10.1,9.6,8.9,8.5,8.1,8,7.2,7.2,4.4,4.3,3.7
Vince Carter,92.5,12.9,11.8,10.5,9.4,9.3,7.7,7.5,7.4,7,6,5,4.2
Hal Greer,91.8,11.2,9.9,9.5,8.5,8.2,8.1,7.9,7.6,6.6,6.2,5.8,4.5
Hersey Hawkins,91.5,10.9,9.8,9.5,8.7,8.6,8.5,8,7.8,6.5,4,3.5,2.6
Eddie Jones,91.4,10.5,10.1,10.1,9.6,9.1,8,7.9,7.2,6.8,6,6,5
Jeff Hornacek,91.1,11.6,10.2,10.2,10.1,9.7,9.5,8.7,7.7,6.9,6.3,5,1.2
Jason Terry,90.7,10.8,9.6,8.6,8.6,8.5,7.4,7.3,6.5,6.5,5.3,5.1,1.9
Ray Allen,90.5,13.7,10.7,10.1,9.7,9.5,9.1,8.9,7,6.9,6.3,5.2,4.9
Allen Iverson,90.1,11.8,11.6,10.6,9.2,9,9,7.2,6.9,6.9,6.2,4.1,2.8
Bill Sharman,89.5,10.4,10.4,9.8,8.8,8.7,7.9,7.7,7.6,5.4,4.3,1.8,NA
