Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Fred VanVleet,,4.7,4.3,0.2,NA,NA
Tomáš Satoranský,89.8,5,4.7,0.6,NA,NA
Bruce Hale,87.5,5.1,4.4,-0.4,NA,NA
Delon Wright,84.9,4.5,4.3,1.1,0.6,NA
Joe Harris,82.0,5.5,4,0.8,0.2,0
Mike Barrett,74.9,4.9,2.7,-0.1,NA,NA
Jamal Murray,74.8,5.5,5.1,1.3,NA,NA
Keith Jennings,73.9,4.2,2.9,0.6,NA,NA
Jim Spanarkel,72.6,5.5,5.2,1,0.4,0.2
Earl Tatum,72.4,4.4,2.6,0.7,0,NA
Walt Kirk,72.3,5,2.3,0.4,NA,NA
