Season,Team,Lg,Salary
2016-17,Toronto Raptors,NBA,"$543,471"
2017-18,Toronto Raptors,NBA,"$1,312,611"
2018-19,Toronto Raptors,NBA,"$8,653,847"
Career,(may be incomplete),,"$10,509,929"
