Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Jay Miller,,0.9,0.7,0.1,-0.3,NA,NA
Dontonio Wingfield,69.3,0.9,0.9,0,-0.1,NA,NA
James Wilkes,66.5,1.1,0.8,0.1,NA,NA,NA
Alec Kessler,66.2,1.2,0.8,0.1,-0.1,NA,NA
Timothé Luwawu-Cabarrot,65.9,0.8,0.8,0.2,NA,NA,NA
Antonio Lang,64.8,0.8,0.7,0.1,0.1,0,-0.1
Joe Holland,59.5,1.2,0.6,0.2,NA,NA,NA
Cal Bowdler,57.8,1,0.5,0.2,NA,NA,NA
Bob Peterson,57.7,0.9,0.4,0.2,NA,NA,NA
Mark Hendrickson,56.8,0.9,0.8,0.3,0.1,NA,NA
Gene Guarilia,56.3,0.7,0.5,0.3,-0.2,NA,NA
