Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Jay Miller,,0.9,0.7,0.1,-0.3
Bob Thornton,79.8,0.9,0.4,0.1,-0.3
Antonio Lang,79.3,0.8,0.7,0.1,-0.1
Michael Ruffin,73.2,1,0.6,0.2,0
Jerome Lane,70.1,1.2,0.6,0.1,-0.2
Dontonio Wingfield,69.3,0.9,0.9,0,-0.1
James Wilkes,66.5,1.1,0.8,0.1,NA
Alec Kessler,66.2,1.2,0.8,0.1,-0.1
Timothé Luwawu-Cabarrot,65.9,0.8,0.8,0.2,NA
Eddie Lee Wilkins,63.4,0.8,0.8,0.3,-0.1
Randy White,63.2,0.8,0.7,0.4,-0.2
