,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,24,STL,NBA,,3,,,,,,3,3,,,,,,,9
1968-69,25,MIL,NBA,,2,,,,,,2,3,,,,,,,6
1968-69,25,LAS,ABA,,8,,0,,,,12,13,,,,,,,22
1968-69,25,INA,ABA,,9,,0,,,,10,12,,,,,,,24
1968-69,25,TOT,ABA,,9,,0,,,,12,13,,,,,,,24
1969-70,26,INA,ABA,,7,,0,,,,5,6,,,,,,,17
1970-71,27,INA,ABA,,2,,0,,,,0,0,,,,,,,4
Career,,,TOT,,9,,,,,,12,13,,,,,,,24
,,,NBA,,3,,,,,,3,3,,,,,,,9
,,,ABA,,9,,0,,,,12,13,,,,,,,24
,,,,,,,,,,,,,,,,,,,
3 Seasons,,INA,ABA,,9,,0,,,,10,12,,,,,,,24
1 Season,,LAS,ABA,,8,,0,,,,12,13,,,,,,,22
1 Season,,STL,NBA,,3,,,,,,3,3,,,,,,,9
1 Season,,MIL,NBA,,2,,,,,,2,3,,,,,,,6
