Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Ben McLemore,,2.5,0.8,0.5,0.4,0.3,0.2,NA,NA,NA
Glenn Robinson,82.6,2.5,0.8,0.7,0.6,0.1,NA,NA,NA,NA
Dion Glover,78.1,2.6,1.1,0.9,0.8,0.3,0.2,NA,NA,NA
Franklin Edwards,75.7,2.7,0.8,0.6,0.2,0.1,-0.2,-0.3,NA,NA
A.J. Price,74.9,2.2,1.2,0.7,0.3,0.3,0,NA,NA,NA
Pete Myers,73.2,3,1.3,0.6,0.5,0.3,0.1,0,0,-0.1
Harold Ellis,68.1,2.8,0.9,0.9,NA,NA,NA,NA,NA,NA
Mike Holton,66.7,2.3,1.3,0.8,0.3,0.2,-0.2,NA,NA,NA
Bo Lamar,65.9,2.5,1.5,1,0.5,NA,NA,NA,NA,NA
Chris Douglas-Roberts,65.8,2.4,1.6,0.7,0.6,0.1,0,NA,NA,NA
Ian Clark,65.1,2.3,1.1,0.9,0.2,-0.1,-0.1,NA,NA,NA
