Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Ben McLemore,,2.5,0.8,0.5,0.4,0.3,0.2
Glenn Robinson,82.6,2.5,0.8,0.7,0.6,0.1,NA
Franklin Edwards,79.5,2.7,0.8,0.6,0.2,0.1,-0.3
Dion Glover,78.1,2.6,1.1,0.9,0.8,0.3,0.2
A.J. Price,74.9,2.2,1.2,0.7,0.3,0.3,0
Harold Ellis,68.1,2.8,0.9,0.9,NA,NA,NA
Mike Holton,66.7,2.3,1.3,0.8,0.3,0.2,-0.2
Bo Lamar,65.9,2.5,1.5,1,0.5,NA,NA
Chris Douglas-Roberts,65.8,2.4,1.6,0.7,0.6,0.1,0
Wayne Ellington,65.7,3.2,1.2,0.8,0.7,0.4,0.3
Ian Clark,65.1,2.3,1.1,0.9,0.2,-0.1,-0.1
