,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1949-50,21,SYR,NBA,,10,,14,16,,,,31
1950-51,22,SYR,NBA,,10,,14,17,,,,28
1951-52,23,SYR,NBA,,11,,23,27,,,6,41
1952-53,24,SYR,NBA,,10,,21,25,,,6,35
1953-54,25,SYR,NBA,,12,,19,24,,,6,35
1954-55,26,SYR,NBA,,15,,14,17,,,6,40
1955-56,27,SYR,NBA,,13,,17,20,,,6,38
1956-57,28,SYR,NBA,,18,,19,20,,,6,47
1957-58,29,SYR,NBA,,14,,20,22,,,,38
1958-59,30,SYR,NBA,,18,,18,19,,,,50
1959-60,31,SYR,NBA,,14,,18,,,,,39
1960-61,32,SYR,NBA,,16,,18,,,,,40
1961-62,33,SYR,NBA,,12,,16,,,,,32
1962-63,34,SYR,NBA,,8,,10,,,,,21
1963-64,35,PHI,NBA,,7,,10,11,,,,22
Career,,,,,18,,23,,,,,50
